tile_int,tile_vector,n_tiles,n_triplets,n_pairs,n_koritsu,n_terminals,n_ways
11145566677,3001232,11,2,2,1,5,2304
11145566777,3001223,11,2,2,1,5,2304
11145567777,3001214,11,2,1,3,5,384
11145666677,3001142,11,2,1,3,5,384
11145666777,3001133,11,3,0,2,5,1024
11145667777,3001124,11,2,1,3,5,384
11146666777,3001043,11,3,0,2,4,64
11146667777,3001034,11,3,0,2,4,64
11155556666,3000440,11,3,0,2,3,4
11155556667,3000431,11,3,0,2,4,64
11155556677,3000422,11,2,2,1,4,144
11155556777,3000413,11,3,0,2,4,64
11155557777,3000404,11,3,0,2,3,4
11155566667,3000341,11,3,0,2,4,64
11155566677,3000332,11,3,1,0,4,384
11155566777,3000323,11,3,1,0,4,384
11155567777,3000314,11,3,0,2,4,64
11155666677,3000242,11,2,2,1,4,144
11155666777,3000233,11,3,1,0,4,384
11155667777,3000224,11,2,2,1,4,144
11156666777,3000143,11,3,0,2,4,64
11156667777,3000134,11,3,0,2,4,64
11166667777,3000044,11,3,0,2,3,4
11222233334,2441000,11,2,1,3,4,24
11222233335,2440100,11,2,1,3,4,24
11222233336,2440010,11,2,1,3,4,24
11222233337,2440001,11,2,1,3,4,24
11222233344,2432000,11,2,2,1,4,144
11222233345,2431100,11,2,1,3,5,384
11222233346,2431010,11,2,1,3,5,384
11222233347,2431001,11,2,1,3,5,384
11222233355,2430200,11,2,2,1,4,144
11222233356,2430110,11,2,1,3,5,384
11222233357,2430101,11,2,1,3,5,384
11222233366,2430020,11,2,2,1,4,144
11222233367,2430011,11,2,1,3,5,384
11222233377,2430002,11,2,2,1,4,144
11222233444,2423000,11,2,2,1,4,144
11222233445,2422100,11,1,3,2,5,864
11222233446,2422010,11,1,3,2,5,864
11222233447,2422001,11,1,3,2,5,864
11222233455,2421200,11,1,3,2,5,864
11222233456,2421110,11,1,2,4,6,2304
11222233457,2421101,11,1,2,4,6,2304
11222233466,2421020,11,1,3,2,5,864
11222233467,2421011,11,1,2,4,6,2304
11222233477,2421002,11,1,3,2,5,864
11222233555,2420300,11,2,2,1,4,144
11222233556,2420210,11,1,3,2,5,864
11222233557,2420201,11,1,3,2,5,864
11222233566,2420120,11,1,3,2,5,864
11222233567,2420111,11,1,2,4,6,2304
11222233577,2420102,11,1,3,2,5,864
11222233666,2420030,11,2,2,1,4,144
11222233667,2420021,11,1,3,2,5,864
11222233677,2420012,11,1,3,2,5,864
11222233777,2420003,11,2,2,1,4,144
11222234444,2414000,11,2,1,3,4,24
11222234445,2413100,11,2,1,3,5,384
11222234446,2413010,11,2,1,3,5,384
11222234447,2413001,11,2,1,3,5,384
11222234455,2412200,11,1,3,2,5,864
11222234456,2412110,11,1,2,4,6,2304
11222234457,2412101,11,1,2,4,6,2304
11222234466,2412020,11,1,3,2,5,864
11222234467,2412011,11,1,2,4,6,2304
11222234477,2412002,11,1,3,2,5,864
11222234555,2411300,11,2,1,3,5,384
11222234556,2411210,11,1,2,4,6,2304
11222234557,2411201,11,1,2,4,6,2304
11222234566,2411120,11,1,2,4,6,2304
11222234567,2411111,11,1,1,6,7,6144
11222234577,2411102,11,1,2,4,6,2304
11222234666,2411030,11,2,1,3,5,384
11222234667,2411021,11,1,2,4,6,2304
11222234677,2411012,11,1,2,4,6,2304
11222234777,2411003,11,2,1,3,5,384
11222235555,2410400,11,2,1,3,4,24
11222235556,2410310,11,2,1,3,5,384
11222235557,2410301,11,2,1,3,5,384
11222235566,2410220,11,1,3,2,5,864
11222235567,2410211,11,1,2,4,6,2304
11222235577,2410202,11,1,3,2,5,864
11222235666,2410130,11,2,1,3,5,384
11222235667,2410121,11,1,2,4,6,2304
11222235677,2410112,11,1,2,4,6,2304
11222235777,2410103,11,2,1,3,5,384
11222236666,2410040,11,2,1,3,4,24
11222236667,2410031,11,2,1,3,5,384
11222236677,2410022,11,1,3,2,5,864
11222236777,2410013,11,2,1,3,5,384
11222237777,2410004,11,2,1,3,4,24
11222244445,2404100,11,2,1,3,4,24
11222244446,2404010,11,2,1,3,4,24
11222244447,2404001,11,2,1,3,4,24
11222244455,2403200,11,2,2,1,4,144
11222244456,2403110,11,2,1,3,5,384
11222244457,2403101,11,2,1,3,5,384
11222244466,2403020,11,2,2,1,4,144
11222244467,2403011,11,2,1,3,5,384
11222244477,2403002,11,2,2,1,4,144
11222244555,2402300,11,2,2,1,4,144
11222244556,2402210,11,1,3,2,5,864
11222244557,2402201,11,1,3,2,5,864
11222244566,2402120,11,1,3,2,5,864
11222244567,2402111,11,1,2,4,6,2304
11222244577,2402102,11,1,3,2,5,864
11222244666,2402030,11,2,2,1,4,144
11222244667,2402021,11,1,3,2,5,864
11222244677,2402012,11,1,3,2,5,864
11222244777,2402003,11,2,2,1,4,144
11222245555,2401400,11,2,1,3,4,24
11222245556,2401310,11,2,1,3,5,384
11222245557,2401301,11,2,1,3,5,384
11222245566,2401220,11,1,3,2,5,864
11222245567,2401211,11,1,2,4,6,2304
11222245577,2401202,11,1,3,2,5,864
11222245666,2401130,11,2,1,3,5,384
11222245667,2401121,11,1,2,4,6,2304
11222245677,2401112,11,1,2,4,6,2304
11222245777,2401103,11,2,1,3,5,384
11222246666,2401040,11,2,1,3,4,24
11222246667,2401031,11,2,1,3,5,384
11222246677,2401022,11,1,3,2,5,864
11222246777,2401013,11,2,1,3,5,384
11222247777,2401004,11,2,1,3,4,24
